time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-08T14:24:10,10.5,18.6,0.6,0.0
2025-07-08T14:24:15,10.47,30.96,1.67,0.0
2025-07-08T14:24:20,7.96,20.17,3.13,0.0
2025-07-08T14:24:25,7.87,19.99,4.47,0.0
2025-07-08T14:24:30,7.84,31.86,5.73,0.0
2025-07-08T14:24:35,7.54,29.32,6.93,0.0
2025-07-08T14:24:40,7.9,22.23,8.53,0.0
2025-07-08T14:24:45,8.77,45.89,9.73,0.0
2025-07-08T14:24:50,6.88,16.48,11.0,0.0
2025-07-08T14:24:55,9.81,96.45,12.47,0.0
2025-07-08T14:25:00,8.54,39.85,13.87,0.0
2025-07-08T14:25:05,6.94,19.23,14.93,0.0
2025-07-08T14:25:10,7.69,34.02,16.53,0.0
2025-07-08T14:25:15,8.75,44.35,17.73,0.0
2025-07-08T14:25:20,6.93,23.07,19.2,0.0
2025-07-08T14:25:25,7.28,74.72,20.4,0.0
2025-07-08T14:25:30,8.73,50.38,21.67,0.0
2025-07-08T14:25:35,8.13,33.52,23.47,0.0
2025-07-08T14:25:40,7.97,33.79,24.2,0.0
2025-07-08T14:25:45,9.16,63.6,25.6,0.0
2025-07-08T14:25:50,8.15,40.92,27.27,0.0
2025-07-08T14:25:55,7.77,33.73,28.67,0.0
2025-07-08T14:26:00,8.28,34.28,29.6,0.0
2025-07-08T14:26:05,8.81,51.9,31.07,0.0
2025-07-08T14:26:10,19.78,221.13,16.2,0.0
